"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","www.google.com","14,773,461","100"
"2","www.blogger.com","30,694,045","100"
"3","youtube.com","23,246,067","100"
"4","play.google.com","3,908,744","99"
"5","linkedin.com","12,444,103","99"
"6","support.google.com","5,639,982","99"
"7","microsoft.com","5,375,462","99"
"8","apple.com","6,638,698","99"
"9","docs.google.com","3,439,995","98"
"10","cloudflare.com","7,110,127","98"
"11","wordpress.org","12,278,904","98"
"12","maps.google.com","5,994,091","98"
"13","whatsapp.com","4,164,422","98"
"14","youtu.be","5,277,385","98"
"15","en.wikipedia.org","7,071,838","98"
"16","bp.blogspot.com","18,120,442","97"
"17","plus.google.com","10,873,862","97"
"18","accounts.google.com","2,543,224","97"
"19","sites.google.com","2,298,772","97"
"20","drive.google.com","2,526,598","97"
"21","mozilla.org","2,492,168","97"
"22","europa.eu","2,325,340","97"
"23","adobe.com","2,864,697","97"
"24","googleusercontent.com","3,615,164","97"
"25","facebook.com","59,564,184","96"
"26","amazon.com","5,029,635","96"
"27","uol.com.br","688,935","96"
"28","t.me","1,448,046","96"
"29","vimeo.com","3,575,815","96"
"30","github.com","2,974,028","96"
"31","vk.com","1,818,904","96"
"32","policies.google.com","3,115,195","96"
"33","istockphoto.com","3,677,409","96"
"34","search.google.com","1,610,225","95"
"35","gstatic.com","633,154","95"
"36","nih.gov","1,513,099","95"
"37","theguardian.com","1,601,039","95"
"38","myspace.com","1,371,009","95"
"39","medium.com","1,798,155","95"
"40","imdb.com","1,539,411","95"
"41","fr.wikipedia.org","647,579","95"
"42","nytimes.com","2,205,495","95"
"43","developers.google.com","1,132,455","95"
"44","netvibes.com","1,231,082","95"
"45","tools.google.com","1,798,164","95"
"46","tiktok.com","1,026,060","95"
"47","brandbucket.com","11,169,954","95"
"48","buydomains.com","1,293,358","95"
"49","paypal.com","1,160,670","95"
"50","creativecommons.org","1,752,737","95"
"51","msn.com","1,098,102","95"
"52","bbc.co.uk","1,746,893","95"
"53","globo.com","460,650","95"
"54","opera.com","991,994","95"
"55","slideshare.net","1,003,941","95"
"56","wikimedia.org","2,088,261","95"
"57","shopify.com","2,967,358","95"
"58","dropbox.com","1,110,360","95"
"59","gravatar.com","12,570,394","95"
"60","files.wordpress.com","7,664,775","95"
"61","ok.ru","371,287","95"
"62","news.google.com","851,336","95"
"63","google.com.br","298,597","95"
"64","google.de","1,105,485","95"
"65","es.wikipedia.org","976,552","95"
"66","www.weebly.com","5,825,770","95"
"67","mail.google.com","658,930","95"
"68","feedburner.com","1,823,307","95"
